,Entity,Code,Year,Annual net change in forest area
0,Algeria,DZA,1990,-8800.0
1,Algeria,DZA,2000,33900.0
2,Algeria,DZA,2010,7600.0
3,Algeria,DZA,2015,-1400.0000000000005
4,Argentina,ARG,1990,-182600.0
5,Argentina,ARG,2000,-316400.0
6,Argentina,ARG,2010,-223400.0
7,Argentina,ARG,2015,-104800.0
8,Aruba,ABW,1990,0.0
9,Aruba,ABW,2000,0.0
10,Aruba,ABW,2010,0.0
11,Aruba,ABW,2015,0.0
12,Australia,AUS,1990,-206810.0000000001
13,Australia,AUS,2000,-226799.99999999997
14,Australia,AUS,2010,709680.0000000002
15,Austria,AUT,1990,6249.999999999999
16,Austria,AUT,2000,2510.0000000000005
17,Austria,AUT,2010,3600.0000000000005
18,Austria,AUT,2015,3590.000000000001
19,Azerbaijan,AZE,2010,9079.999999999998
20,Azerbaijan,AZE,2015,14159.999999999996
21,Bahrain,BHR,1990,10.0
22,Bahrain,BHR,2000,10.0
23,Bahrain,BHR,2010,20.0
24,Bahrain,BHR,2015,20.0
25,Bangladesh,BGD,1990,0.0
26,Bangladesh,BGD,2000,-3200.0
27,Bangladesh,BGD,2010,-990.000000000002
28,Bangladesh,BGD,2015,0.0
29,Belarus,BLR,2000,26110.000000000007
30,Belarus,BLR,2010,19900.0
31,Belarus,BLR,2015,26820.0
32,Belgium,BEL,2010,-110.0000000000001
33,Belgium,BEL,2015,0.0
34,Belize,BLZ,1990,-14070.0
35,Belize,BLZ,2000,-6790.0
36,Belize,BLZ,2010,-11710.0
37,Belize,BLZ,2015,-11160.0
38,Bhutan,BTN,1990,9930.0
39,Bhutan,BTN,2000,9930.0
40,Bhutan,BTN,2010,1980.0
41,Bhutan,BTN,2015,1980.0
42,Bolivia,BOL,1990,-270330.0
43,Bolivia,BOL,2000,-201540.0
44,Bolivia,BOL,2010,-211760.0
45,Bolivia,BOL,2015,-238690.0
46,Brazil,BRA,1990,-3780940.0
47,Brazil,BRA,2000,-3950790.0
48,Brazil,BRA,2010,-1539179.9999999995
49,Brazil,BRA,2015,-1453040.0
50,Bulgaria,BGR,1990,4800.0
51,Bulgaria,BGR,2000,36200.0
52,Bulgaria,BGR,2010,19200.0
53,Bulgaria,BGR,2015,12000.0
54,Burundi,BDI,1990,-8250.0
55,Burundi,BDI,2000,0.0
56,Burundi,BDI,2010,17140.0
57,Burundi,BDI,2015,0.0
58,Cameroon,CMR,1990,-90250.0
59,Cameroon,CMR,2000,-69700.0
60,Cameroon,CMR,2010,-56000.0
61,Cameroon,CMR,2015,-56000.0
62,Canada,CAN,1990,-47100.0
63,Canada,CAN,2000,-47980.0
64,Canada,CAN,2010,-41300.0
65,Canada,CAN,2015,-37520.0
66,Cape Verde,CPV,2000,300.00000000000034
67,Cape Verde,CPV,2010,300.00000000000034
