,Entity,Code,Year,Deforestation
0,Africa,,1990,4096000.0
1,Africa,,2000,4314000.0
2,Africa,,2010,4444000.0
3,Africa,,2015,4414000.0
4,Algeria,DZA,1990,14800.0
5,Algeria,DZA,2000,14500.0
6,Algeria,DZA,2010,1400.0
7,Algeria,DZA,2015,5400.0
8,Argentina,ARG,1990,213600.0
9,Argentina,ARG,2000,327400.0
10,Argentina,ARG,2010,242400.0
11,Argentina,ARG,2015,134800.0
12,Aruba,ABW,1990,0.0
13,Aruba,ABW,2000,0.0
14,Aruba,ABW,2010,0.0
15,Aruba,ABW,2015,0.0
16,Asia,,1990,4170000.0
17,Asia,,2000,2684000.0
18,Asia,,2010,2925000.0
19,Asia,,2015,2235000.0
20,Australia,AUS,1990,626200.0
21,Australia,AUS,2000,632300.0
22,Australia,AUS,2010,416840.0
23,Austria,AUT,1990,3450.0
24,Austria,AUT,2000,7790.0
25,Austria,AUT,2010,5800.0
26,Austria,AUT,2015,5810.0
27,Azerbaijan,AZE,2010,81640.0
28,Azerbaijan,AZE,2015,86360.0
29,Bahrain,BHR,1990,10.0
30,Bahrain,BHR,2000,10.0
31,Bahrain,BHR,2010,0.0
32,Bahrain,BHR,2015,0.0
33,Bangladesh,BGD,1990,7500.0
34,Bangladesh,BGD,2000,3200.0
35,Bangladesh,BGD,2010,18190.0
36,Bangladesh,BGD,2015,0.0
37,Belarus,BLR,2000,7200.0
38,Belarus,BLR,2010,4100.0
39,Belarus,BLR,2015,3500.0
40,Belgium,BEL,2010,1810.0
41,Belgium,BEL,2015,1500.0
42,Belize,BLZ,1990,14070.0
43,Belize,BLZ,2000,6790.0
44,Belize,BLZ,2010,11710.0
45,Belize,BLZ,2015,11160.0
46,Bhutan,BTN,1990,0.0
47,Bhutan,BTN,2000,190.0
48,Bhutan,BTN,2010,340.0
49,Bhutan,BTN,2015,430.0
50,Bolivia,BOL,1990,270330.0
51,Bolivia,BOL,2000,200050.0
52,Bolivia,BOL,2010,190690.0
53,Bolivia,BOL,2015,242540.0
54,Brazil,BRA,1990,4254800.0
55,Brazil,BRA,2000,5129300.0
56,Brazil,BRA,2010,1867800.0
57,Brazil,BRA,2015,1695700.0
58,Bulgaria,BGR,1990,0.0
59,Bulgaria,BGR,2000,0.0
60,Bulgaria,BGR,2010,0.0
61,Bulgaria,BGR,2015,0.0
62,Burundi,BDI,1990,8250.0
63,Burundi,BDI,2000,0.0
64,Burundi,BDI,2010,0.0
65,Burundi,BDI,2015,0.0
66,Cameroon,CMR,1990,90550.0
67,Cameroon,CMR,2000,71700.0
68,Cameroon,CMR,2010,58000.0
69,Cameroon,CMR,2015,58000.0
70,Canada,CAN,1990,54420.0
71,Canada,CAN,2000,50450.0
72,Canada,CAN,2010,41300.0
73,Canada,CAN,2015,37520.0
74,Cape Verde,CPV,2000,2840.0
75,Cape Verde,CPV,2010,1900.0
76,Cape Verde,CPV,2015,820.0
77,Cayman Islands,CYM,1990,20.0
78,Cayman Islands,CYM,2000,20.0
79,Cayman Islands,CYM,2010,0.0
80,Cayman Islands,CYM,2015,0.0
81,Central African Republic,CAF,1990,30000.0
82,Central African Republic,CAF,2000,30000.0
83,Central African Republic,CAF,2010,30000.0
84,Central African Republic,CAF,2015,30000.0
85,Chile,CHL,1990,10110.0
86,Chile,CHL,2000,14210.0
87,Chile,CHL,2010,11270.0
88,Chile,CHL,2015,9400.0
89,China,CHN,1990,327540.0
90,China,CHN,2000,312760.0
91,China,CHN,2010,329970.0
92,China,CHN,2015,133200.0
93,Colombia,COL,1990,229130.0
94,Colombia,COL,2000,214330.0
95,Colombia,COL,2010,143170.0
96,Colombia,COL,2015,199230.0
97,Congo,COG,1990,12000.0
98,Congo,COG,2000,12000.0
99,Congo,COG,2010,12000.0
100,Congo,COG,2015,13800.0
101,Costa Rica,CRI,1990,9790.0
102,Costa Rica,CRI,2000,2650.0
103,Costa Rica,CRI,2010,0.0
104,Costa Rica,CRI,2015,0.0
105,Croatia,HRV,2000,330.0
106,Croatia,HRV,2010,90.0
107,Croatia,HRV,2015,50.0
108,Cuba,CUB,1990,0.0
109,Cuba,CUB,2000,0.0
110,Cuba,CUB,2010,0.0
111,Cuba,CUB,2015,0.0
112,Denmark,DNK,1990,30.0
113,Denmark,DNK,2000,180.0
114,Denmark,DNK,2010,260.0
115,Denmark,DNK,2015,620.0
116,Djibouti,DJI,1990,0.0
117,Djibouti,DJI,2000,0.0
118,Djibouti,DJI,2010,0.0
119,Djibouti,DJI,2015,160.0
120,Dominican Republic,DOM,1990,620.0
121,Dominican Republic,DOM,2000,250.0
122,Dominican Republic,DOM,2010,18490.0
123,Ecuador,ECU,1990,129940.0
124,Ecuador,ECU,2000,105080.0
125,Ecuador,ECU,2010,96130.0
126,Ecuador,ECU,2015,87220.0
127,El Salvador,SLV,1990,4500.0
128,El Salvador,SLV,2000,4500.0
129,El Salvador,SLV,2010,4500.0
130,El Salvador,SLV,2015,4500.0
131,Equatorial Guinea,GNQ,2000,8360.0
132,Equatorial Guinea,GNQ,2010,8360.0
133,Equatorial Guinea,GNQ,2015,8360.0
134,Estonia,EST,2000,6340.0
135,Estonia,EST,2010,11230.0
136,Estonia,EST,2015,5010.0
137,Ethiopia,ETH,2000,92000.0
138,Ethiopia,ETH,2010,92000.0
139,Ethiopia,ETH,2015,92000.0
140,Europe,,1990,88000.0
141,Europe,,2000,92000.0
142,Europe,,2010,201000.0
143,Europe,,2015,69000.0
144,Falkland Islands,FLK,1990,0.0
145,Falkland Islands,FLK,2000,0.0
146,Falkland Islands,FLK,2010,0.0
147,Falkland Islands,FLK,2015,0.0
148,Faroe Islands,FRO,1990,0.0
149,Faroe Islands,FRO,2000,0.0
150,Faroe Islands,FRO,2010,0.0
151,Faroe Islands,FRO,2015,0.0
152,Finland,FIN,1990,12180.0
153,Finland,FIN,2000,2090.0
154,Finland,FIN,2010,540.0
155,French Guyana,,1990,5560.0
156,French Guyana,,2000,5540.0
157,French Guyana,,2010,5650.0
158,French Guyana,,2015,5780.0
159,Gabon,GAB,1990,10240.0
160,Gabon,GAB,2000,14740.0
161,Gabon,GAB,2010,19250.0
162,Gabon,GAB,2015,19250.0
163,Georgia,GEO,2000,0.0
164,Georgia,GEO,2010,0.0
165,Georgia,GEO,2015,0.0
166,Germany,DEU,1990,6800.0
167,Germany,DEU,2000,5830.0
168,Germany,DEU,2010,7000.0
169,Germany,DEU,2015,7000.0
170,Gibraltar,GIB,1990,0.0
171,Gibraltar,GIB,2000,0.0
172,Gibraltar,GIB,2010,0.0
173,Gibraltar,GIB,2015,0.0
174,Greenland,GRL,1990,0.0
175,Greenland,GRL,2000,0.0
176,Greenland,GRL,2010,0.0
177,Greenland,GRL,2015,0.0
178,Guadeloupe,GLP,1990,250.0
179,Guadeloupe,GLP,2000,180.0
180,Guadeloupe,GLP,2010,260.0
181,Guadeloupe,GLP,2015,250.0
182,Guatemala,GTM,1990,57200.0
183,Guatemala,GTM,2000,48660.0
184,Guatemala,GTM,2010,27360.0
185,Guatemala,GTM,2015,11600.0
186,Guinea,GIN,1990,46700.0
187,Guyana,GUY,1990,3790.0
188,Guyana,GUY,2000,4440.0
189,Guyana,GUY,2010,11690.0
190,Guyana,GUY,2015,9200.0
191,Honduras,HND,1990,23300.0
192,Honduras,HND,2000,22810.0
193,Honduras,HND,2010,24400.0
194,Honduras,HND,2015,23190.0
195,Hungary,HUN,1990,830.0
196,Hungary,HUN,2000,1430.0
197,Hungary,HUN,2010,1550.0
198,Hungary,HUN,2015,3140.0
199,Iceland,ISL,1990,0.0
200,Iceland,ISL,2000,0.0
201,Iceland,ISL,2010,0.0
202,Iceland,ISL,2015,0.0
203,India,IND,1990,384000.0
204,India,IND,2000,629500.0
205,India,IND,2010,668400.0
206,India,IND,2015,668400.0
207,Indonesia,IDN,1990,2526000.0
208,Indonesia,IDN,2000,969000.0
209,Indonesia,IDN,2015,650000.0
210,Iraq,IRQ,1990,0.0
211,Iraq,IRQ,2000,0.0
212,Iraq,IRQ,2010,0.0
213,Iraq,IRQ,2015,0.0
214,Ireland,IRL,1990,620.0
215,Ireland,IRL,2000,620.0
216,Ireland,IRL,2010,620.0
217,Ireland,IRL,2015,620.0
218,Isle of Man,IMN,1990,0.0
219,Isle of Man,IMN,2000,0.0
220,Isle of Man,IMN,2010,0.0
221,Isle of Man,IMN,2015,0.0
222,Italy,ITA,2010,3690.0
223,Jamaica,JAM,1990,890.0
224,Jamaica,JAM,2000,680.0
225,Jamaica,JAM,2010,620.0
226,Jamaica,JAM,2015,540.0
227,Kuwait,KWT,1990,0.0
228,Kuwait,KWT,2000,0.0
229,Kuwait,KWT,2010,0.0
230,Kuwait,KWT,2015,0.0
231,Kyrgyzstan,KGZ,2000,0.0
232,Kyrgyzstan,KGZ,2010,0.0
233,Kyrgyzstan,KGZ,2015,0.0
234,Latvia,LVA,2000,400.0
235,Latvia,LVA,2010,310.0
236,Latvia,LVA,2015,360.0
237,Liberia,LBR,1990,30260.0
238,Liberia,LBR,2000,30260.0
239,Liberia,LBR,2010,30260.0
240,Liberia,LBR,2015,30260.0
241,Liechtenstein,LIE,1990,210.0
242,Liechtenstein,LIE,2000,210.0
