Country,Year,Energy Consumption
Canada,1990,3.7241203784942627
Mexico,1990,0.9499010443687439
US,1990,17.4016056060791
Total North America,1990,22.075627028942108
Argentina,1990,0.6245784163475037
Bolivia,1990,0.11291799694299698
Brazil,1990,0.11323849111795425
Colombia,1990,0.14128559827804565
Peru,1990,0.015436574816703796
Trinidad & Tobago,1990,0.19668149948120117
Venezuela,1990,0.8777413964271545
Other S. & Cent. America,1990,0.0862142015248537
Total S. & Cent. America,1990,2.1680941749364138
Denmark,1990,0.11773160845041275
Germany,1990,0.5408865213394165
Italy,1990,0.587397575378418
Netherlands,1990,2.2829999923706055
Norway,1990,0.9103807806968689
Poland,1990,0.09955889731645584
Romania,1990,0.9592298865318298
Ukraine,1990,0.9573893547058105
United Kingdom,1990,1.7137409448623657
Other Europe,1990,0.5857463467400521
Total Europe,1990,8.755061908392236
Azerbaijan,1990,0.3480246067047119
Kazakhstan,1990,0.1815449595451355
Russian Federation,1990,21.58523941040039
Turkmenistan,1990,2.8527345657348633
USSR,1990,0.0
Uzbekistan,1990,1.3250160217285156
Other CIS,1990,0.021698854630813003
Total CIS,1990,26.31425841874443
Bahrain,1990,0.21876029670238495
Iran,1990,0.8898493647575378
Iraq,1990,0.13611599802970886
Israel,1990,0.0011242303298786283
Kuwait,1990,0.14329800009727478
Oman,1990,0.08811621367931366
Qatar,1990,0.23473800718784332
Saudi Arabia,1990,1.1463840007781982
Syria,1990,0.057318300008773804
United Arab Emirates,1990,0.70586097240448
Other Middle East,1990,0.004387271124869585
Total Middle East,1990,3.6259526551002637
Algeria,1990,1.85965096950531
Egypt,1990,0.2796255052089691
Libya,1990,0.2120400071144104
Nigeria,1990,0.13820220530033112
Other Africa,1990,0.10820748009700765
Total Africa,1990,2.5977261672260283
Australia,1990,0.7420012950897217
Bangladesh,1990,0.16467124223709106
Brunei,1990,0.31328505277633667
China,1990,0.5550601482391357
India,1990,0.41733846068382263
Indonesia,1990,1.6034337282180786
Malaysia,1990,0.6484097242355347
Myanmar,1990,0.030064500868320465
Pakistan,1990,0.36763378977775574
Thailand,1990,0.24299518764019012
Vietnam,1990,0.0013895999873057008
Other Asia Pacific,1990,0.2867854037322104
Total Asia Pacific,1990,5.3730681334855035
Canada,1991,3.919628143310547
Mexico,1991,0.9633274674415588
US,1991,17.309101104736328
Total North America,1991,22.192056715488434
Argentina,1991,0.6977493166923523
Bolivia,1991,0.11224810779094696
Brazil,1991,0.11772218346595764
Colombia,1991,0.13990139961242676
Peru,1991,0.014483699575066566
Trinidad & Tobago,1991,0.1992659568786621
Venezuela,1991,0.8752039074897766
Other S. & Cent. America,1991,0.09141109755728394
