Country,Year,Electricity Generation Twh
Canada,1990,480.5932424242396
Mexico,1990,117.59154298884492
US,1990,3232.779648759239
Total North America,1990,3830.9644341723238
Argentina,1990,51.004894
Brazil,1990,222.82011523002677
Chile,1990,18.398
Colombia,1990,38.24570622244135
Ecuador,1990,6.3488547
Peru,1990,13.808
Trinidad & Tobago,1990,3.577
Venezuela,1990,59.321
Central America,1990,14.493572863157896
Other Caribbean,1990,43.424145425863834
Other South America,1990,37.1111492137
Total S. & Cent. America,1990,508.55243765518986
Austria,1990,49.296
Belgium,1990,70.923
Bulgaria,1990,42.141
Croatia,1990,8.8732
Cyprus,1990,1.974
Czech Republic,1990,62.559000000000005
Denmark,1990,25.97718888888889
Estonia,1990,17.181
Finland,1990,54.377455000000005
France,1990,420.75100000000003
Germany,1990,549.9
Greece,1990,35.003
Hungary,1990,28.436
Iceland,1990,4.447226
Ireland,1990,14.500609640000002
Italy,1990,216.6
Latvia,1990,6.648000000000001
Lithuania,1990,28.405
Luxembourg,1990,1.377
Netherlands,1990,71.892
North Macedonia,1990,5.758
Norway,1990,121.848
Poland,1990,136.311
Portugal,1990,28.5
Romania,1990,64.309
Slovakia,1990,26.132
Slovenia,1990,12.399000000000001
Spain,1990,151.92000000000002
Sweden,1990,146.508
Switzerland,1990,56.01542743221691
Turkey,1990,57.543
Ukraine,1990,298.835
United Kingdom,1990,319.73900000000003
Other Europe,1990,74.5294762631579
Total Europe,1990,3211.608583224264
Azerbaijan,1990,23.152
Belarus,1990,39.526
Kazakhstan,1990,87.379
Russian Federation,1990,1082.2
Turkmenistan,1990,14.61
Uzbekistan,1990,56.325
Other CIS,1990,60.461
Total CIS,1990,1363.653
Iran,1990,57.655
Iraq,1990,28.373178
Israel,1990,20.8976
Kuwait,1990,18.477
Oman,1990,4.501
Qatar,1990,4.8420000000000005
Saudi Arabia,1990,79.88045573923428
United Arab Emirates,1990,17.081
Other Middle East,1990,26.461000000000002
Total Middle East,1990,258.16823373923427
Algeria,1990,16.104
Egypt,1990,41.9525
Morocco,1990,9.628
South Africa,1990,167.226
Eastern Africa,1990,29.951393520063945
Middle Africa,1990,10.88810000038147
Western Africa,1990,24.345024397950723
Other Northern Africa,1990,16.06421052631579
Other Southern Africa,1990,2.617
Total Africa,1990,318.776228444712
Australia,1990,155.6535
Bangladesh,1990,7.732
China,1990,621.2
China Hong Kong SAR,1990,28.96
India,1990,287.7628267666394
Indonesia,1990,33.11472
Japan,1990,881.5
Malaysia,1990,23.016000000000002
New Zealand,1990,32.61435176830056
Pakistan,1990,45.985
Philippines,1990,26.327
Singapore,1990,15.617600000000001
South Korea,1990,118.460795
Sri Lanka,1990,3.1498000000000004
Taiwan,1990,90.193523466
Thailand,1990,44.11251
Vietnam,1990,8.681000000000001
Other Asia Pacific,1990,45.539676088636355
Total Asia Pacific,1990,2469.6203030895767
Canada,1991,506.9948584795292
Mexico,1991,128.57117140482066
US,1991,3270.7244021134193
Total North America,1991,3906.2904319977692
Argentina,1991,53.85426999999999
Brazil,1991,234.3762971755566
Chile,1991,19.963
Colombia,1991,40.12350790892981
Ecuador,1991,6.974455799999999
Peru,1991,14.482000000000001
Trinidad & Tobago,1991,3.72
Venezuela,1991,63.337
Central America,1991,15.272236705263161
Other Caribbean,1991,42.26179928267101
Other South America,1991,39.717519601199996
Total S. & Cent. America,1991,534.0820864736206
Austria,1991,51.27025333652143
Belgium,1991,71.936
Bulgaria,1991,40.862
Croatia,1991,8.6051
Cyprus,1991,2.077
Czech Republic,1991,60.528
Denmark,1991,36.540499999999994
Estonia,1991,14.627
Finland,1991,57.98552
France,1991,455.555
Germany,1991,540.2220000000001
Greece,1991,35.815
Hungary,1991,29.963
Iceland,1991,4.425218
Ireland,1991,15.135723940000002
Italy,1991,221.816
Latvia,1991,5.644
Lithuania,1991,29.363
Luxembourg,1991,1.415
Netherlands,1991,74.282
North Macedonia,1991,5.7700000000000005
Norway,1991,111.009
Poland,1991,134.714
Portugal,1991,29.871000000000002
Romania,1991,56.803000000000004
Slovakia,1991,24.747
Slovenia,1991,12.744
Spain,1991,155.797
Sweden,1991,147.38400000000001
Switzerland,1991,58.061845826687936
Turkey,1991,60.246300000000005
Ukraine,1991,278.683
United Kingdom,1991,322.875
Other Europe,1991,72.57677052631578
Total Europe,1991,3229.3492316295265
Azerbaijan,1991,23.4495
Belarus,1991,38.735
Kazakhstan,1991,85.99
Russian Federation,1991,1068.1633000000002
Turkmenistan,1991,14.9535
Uzbekistan,1991,54.165
Other CIS,1991,57.869
Total CIS,1991,1343.3253000000002
Iran,1991,62.814
Iraq,1991,13.359352999999999
Israel,1991,21.5141
Kuwait,1991,10.78
Oman,1991,4.625
Qatar,1991,4.6690000000000005
Saudi Arabia,1991,84.99571265049852
United Arab Emirates,1991,17.222
Other Middle East,1991,28.336
Total Middle East,1991,248.31516565049856
Algeria,1991,17.345
Egypt,1991,43.276
Morocco,1991,9.205
South Africa,1991,168.316
Eastern Africa,1991,31.357875813349317
Middle Africa,1991,10.6145
Western Africa,1991,25.416210919005177
Other Northern Africa,1991,16.57421052631579
Other Southern Africa,1991,2.7430000000000003
Total Africa,1991,324.84779725867037
Australia,1991,157.9635
Bangladesh,1991,8.27
China,1991,677.5500000000001
China Hong Kong SAR,1991,31.88888888888889
India,1991,320.45763072132127
Indonesia,1991,38.10263
Japan,1991,911.303
Malaysia,1991,26.552
New Zealand,1991,33.63915426556432
Pakistan,1991,50.22
Philippines,1991,25.649
Singapore,1991,16.5966
South Korea,1991,131.616144
Sri Lanka,1991,3.3771
Taiwan,1991,99.177527424
Thailand,1991,50.12039
Vietnam,1991,9.21
Other Asia Pacific,1991,44.546913073898985
Total Asia Pacific,1991,2636.2404783736733
Canada,1992,518.6268124406096
Mexico,1992,132.2756645276993
US,1992,3284.3899346073094
Total North America,1992,3935.292411575618
Argentina,1992,56.10709699999999
Brazil,1992,241.76195193832473
Chile,1992,22.35
Colombia,1992,36.613098717322494
Ecuador,1992,7.1960273
Peru,1992,13.122
Trinidad & Tobago,1992,3.976
Venezuela,1992,67.44
Central America,1992,17.281169315789477
Other Caribbean,1992,45.103512929595325
Other South America,1992,39.7360260016
Total S. & Cent. America,1992,550.6868832026321
Austria,1992,50.984824983628776
Belgium,1992,72.22500000000001
Bulgaria,1992,35.61
Croatia,1992,8.9021
Cyprus,1992,2.43
Czech Republic,1992,59.293
Denmark,1992,30.73337777777778
Estonia,1992,11.829
Finland,1992,57.724593999999996
France,1992,463.639
Germany,1992,538.1657000000001
Greece,1992,37.411
Hungary,1992,31.685000000000002
Iceland,1992,4.53892
Ireland,1992,15.99887928
Italy,1992,226.254
Latvia,1992,3.834
Lithuania,1992,18.707
Luxembourg,1992,1.198
Netherlands,1992,77.231
North Macedonia,1992,6.065
Norway,1992,117.506
Poland,1992,132.75
