Country,Year,Nuclear_TWh,Hydro_TWh,Solar_TWh,Wind_TWh
Algeria,1990,0.0,0.135,0.0,0.0
Algeria,1991,0.0,0.293,0.0,0.0
Algeria,1992,0.0,0.199,0.0,0.0
Algeria,1993,0.0,0.353,0.0,0.0
Algeria,1994,0.0,0.166,0.0,0.0
Algeria,1995,0.0,0.193,0.0,0.0
Algeria,1996,0.0,0.135,0.0,0.0
Algeria,1997,0.0,0.075,0.0,0.0
Algeria,1998,0.0,0.215,0.0,0.0
Algeria,1999,0.0,0.203,0.0,0.0
Algeria,2000,0.0,0.054,0.0,0.0
Algeria,2001,0.0,0.069,0.0,0.0
Algeria,2002,0.0,0.057,0.0,0.0
Algeria,2003,0.0,0.265,0.0,0.0
Algeria,2004,0.0,0.251,0.0,0.0
Algeria,2005,0.0,0.5553,0.0,0.0
Algeria,2006,0.0,0.2176,0.0,0.0
Algeria,2007,0.0,0.226,0.0,0.0
Algeria,2008,0.0,0.283,0.0,0.0
Algeria,2009,0.0,0.342,0.0,0.0
Algeria,2010,0.0,0.173,0.0091,0.0
Algeria,2011,0.0,0.378,0.01811875,0.0
Algeria,2012,0.0,0.389,0.0267230136986301,0.0
Algeria,2013,0.0,0.099,0.0286,0.0
Algeria,2014,0.0,0.193,0.06,0.001
Algeria,2015,0.0,0.145,0.058,0.019
Algeria,2016,0.0,0.072,0.245,0.0190520547945205
Algeria,2017,0.0,0.056,0.504,0.019
Algeria,2018,0.0,0.117,0.603,0.01
Algeria,2019,0.0,0.152,0.615,0.01
Algeria,2020,0.0,0.0496,0.685,0.0077
Algeria,2021,0.0,0.0093,0.664,0.0105
Algeria,2022,0.0,0.016,0.649,0.016
Algeria,2023,0.0,0.06878,0.649,0.016
Argentina,1990,7.281000000000001,17.713175279069766,0.0,0.0
Argentina,1991,7.756,15.869253604651162,0.0,0.0
Argentina,1992,7.081,19.16509093023256,0.0,0.0
Argentina,1993,7.75,23.768307255813955,0.0,0.0
Argentina,1994,8.235,27.286676604651163,0.0,0.0
Argentina,1995,7.066,26.503681604651163,0.0,0.0
Argentina,1996,7.459,22.471685953488368,0.0,0.009618
Argentina,1997,7.961,27.92466527906976,0.0,0.014592
Argentina,1998,7.453,26.475504255813952,1.7e-05,0.032541
Argentina,1999,7.106,21.39679060465116,2.6e-05,0.034781
Argentina,2000,6.1770000000000005,28.57524160465116,3.600000000000001e-05,0.034758
Argentina,2001,7.059,36.580173255813946,4.3e-05,0.049361
Argentina,2002,5.821,35.77883625581395,4.7e-05,0.073405
Argentina,2003,7.566,33.80057658139535,6.5e-05,0.077954
Argentina,2004,7.869,30.462403,7e-05,0.0724459999999999
Argentina,2005,6.873,34.21613599999999,8.100000000000002e-05,0.071719665
Argentina,2006,7.721,38.015213,9e-05,0.06964
Argentina,2007,7.254,31.22015,0.0001089,0.0615929999999999
Argentina,2008,7.394,31.199696194699992,0.0001437,0.0419510779999999
Argentina,2009,8.183,34.618186343720225,7.608399999999999e-05,0.0368315285999999
Argentina,2010,7.21,33.35990813499999,8.588999999999999e-05,0.0253516061999999
Argentina,2011,6.4,31.186929829999997,0.001614,0.0265905499999999
Argentina,2012,6.402,29.1643992459,0.0081729667999999,0.3698619993329999
Argentina,2013,6.207,32.77137877999999,0.0150740789999999,0.453354876
Argentina,2014,5.514,32.41669652623799,0.015944,0.619491
Argentina,2015,7.039000000000001,32.337469541142454,0.0146829999999999,0.5933349629999998
