Country,Year,Oil_Electricity,Gas_Electricity,Coal_Electricity
Canada,1990,16.468,9.654,82.22
Mexico,1990,64.03832052623065,13.208471138873564,7.79890587929691
US,1990,135.978711827957,400.8227462365591,1725.1551709677422
Total North America,1990,216.48503235418764,423.6852173754327,1815.174076847039
Argentina,1990,4.944,19.84969690706507,0.66
Brazil,1990,5.069899680026765,0.3256119999999999,4.62054105
Other S. & Cent. America,1990,56.85723400690617,26.82402172949765,10.285672479660418
Total S. & Cent. America,1990,66.87113368693292,46.99933063656272,15.566213529660416
France,1990,8.668000000000001,3.027,35.423
Germany,1990,10.8,35.9,311.70000000000005
Italy,1990,102.719,39.082,35.594
Netherlands,1990,3.064,36.529,27.499
Poland,1990,1.57,0.125,131.04500000000002
Spain,1990,8.604000000000001,1.509,60.663
Turkey,1990,3.9417,10.1923,20.1813
Ukraine,1990,48.011,49.889,114.033
United Kingdom,1990,34.676,4.998,206.438
Other Europe,1990,60.26347733386497,72.63802810000003,275.892135
Total Europe,1990,282.317177333865,253.88932810000003,1218.468435000001
Kazakhstan,1990,8.731,9.138,62.144
Russian Federation,1990,128.49379329835472,511.6158394006289,156.85474350101632
Other CIS,1990,36.463,110.359634,11.203
Total CIS,1990,173.6877932983547,631.1134734006289,230.20174350101632
Iran,1990,19.886968789580976,30.322031210419023,0.065
Saudi Arabia,1990,39.15190352460071,40.72855221463357,0.0
United Arab Emirates,1990,0.0014183213256484,17.07958167867435,0.0
Other Middle East,1990,53.8686558,31.320000000000004,10.467599999999996
Total Middle East,1990,112.90894643550732,119.45016510372696,10.532599999999997
Egypt,1990,15.5535,16.446,0.0
South Africa,1990,0.0,0.0,155.92600000000002
Other Africa,1990,27.39732335277672,26.2,8.747535442381436
Total Africa,1990,42.9508233527767,42.646,164.67353544238145
Australia,1990,3.474,12.5655,123.363
China,1990,50.366,2.771,441.2510071979799
India,1990,13.312,9.958,191.633
Indonesia,1990,12.324080000000002,3.4007600000000004,9.76802
Japan,1990,287.53785595408164,172.93030706938,119.28443597653828
Malaysia,1990,10.555,5.54,2.932
South Korea,1990,13.307033,12.392570000000005,33.512276
Taiwan,1990,22.360420558,1.203323072,25.364213387
Thailand,1990,10.36948,17.765060000000002,11.05285
Vietnam,1990,1.305,0.006,2.001
Other Asia Pacific,1990,45.89074833500267,32.41298201283066,45.46319918279711
