Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Log Fossil,Log Non-CO₂,Log Nuclear,Log Renewable,Cluster
Algeria,2020,168177860.0,0.9969956881830704,0.0030043118947959,0.0,0.0030043118947959,0.0,0.0093777675026182,0.0,0.0093777675026182,0.0,0.0484059754242222,0.9515940245757778,0.0,0.009334069223385,0.0,0.009334069223385,2
Argentina,2020,165120860.0,0.8478944972173799,0.1329438880518139,0.029004776975511,0.1039391110763028,0.6735218057528396,0.3072090857853546,0.0692110562801719,0.2379980295051827,0.0,0.0392634637253362,0.9607365362746636,0.5149302716129407,0.267894395669638,0.06692104593265263,0.21349558258519472,0
Australia,2020,399183900.0,0.8915177024202336,0.1008553655622295,0.0,0.1008553655622295,0.7561173304365083,0.229566712403979,0.0,0.229566712403979,0.3316651566626035,0.1439361738958396,0.5243986694415569,0.5631053098580594,0.20666184098573626,0.0,0.20666184098573626,0
Azerbaijan,2020,36233150.0,0.9810477218235764,0.0172209167846322,0.0,0.0172209167846322,0.0,0.0469288791018262,0.0,0.0469288791018262,0.0,0.0261837554109535,0.9738162445890464,0.0,0.04586100131166355,0.0,0.04586100131166355,2
Bangladesh,2020,95454296.0,0.9932841718687928,0.0066888828995865,0.0,0.0066888828995865,0.0,0.0137492415666976,0.0,0.0137492415666976,0.0,1.0,0.0,0.0,0.013655578300914809,0.0,0.013655578300914809,2
Brazil,2020,445208100.0,0.5026332132245528,0.3695788261800704,0.0104334665053521,0.3591453596747182,0.141948722209547,0.7605922996613833,0.0223495691520492,0.7382427305093341,0.0006269320143243,0.0054423616405327,0.9939307063451428,0.13273620848275147,0.5656502863337427,0.022103477477825068,0.5528746779139372,3
Bulgaria,2020,36644240.0,0.6701623142298867,0.2919719655360833,0.2144598827997051,0.077512082736378,0.0,0.5494373975096359,0.4079497741117343,0.1414876233979016,1.0,0.0,0.0,0.0,0.43789189569321496,0.3421345853039537,0.13233234452674525,1
Canada,2020,526581600.0,0.6281738263993274,0.3574594518819481,0.064303857124527,0.293155594757421,0.1777960706814492,0.8015006059332654,0.1491243580663701,0.6523762478668953,0.004435160233519,0.0230076594933794,0.9725571802731016,0.16364495537185073,0.5886199875552551,0.13900022457342603,0.5022144021130839,3
China,2020,10905693000.0,0.836955533801827,0.151949931475048,0.0222416503347229,0.1297082811403251,0.6666521559160105,0.3105142523646815,0.0470750964769522,0.2634391558877293,0.2852396547843065,0.0247436984576537,0.6900166467580398,0.5108169172776955,0.2704196192389212,0.04600065470016593,0.23383749147310176,0
Colombia,2020,89731500.0,0.7098963377477471,0.2563764649341252,0.0,0.2563764649341252,0.0,0.6305684550316032,0.0,0.6305684550316032,0.0361760409181577,0.0103634703630037,0.9534604887188384,0.0,0.48892869943928396,0.0,0.48892869943928396,3
Czech Republic,2020,91673770.0,0.7513958469554833,0.201229158764966,0.1710797668010607,0.0301493919639052,0.0,0.4312542587732764,0.3688741033276963,0.06238015544558,1.0,0.0,0.0,0.0,0.35855116387810027,0.31398857957034004,0.06051182057986639,1
Denmark,2020,28294042.0,0.6153161060730595,0.2608324960124175,0.0,0.2608324960124175,0.0,0.6101158640964017,0.0,0.6101158640964017,0.0,0.0139133533299649,0.9860866466700352,0.0,0.47630614168426344,0.0,0.47630614168426344,3
Ecuador,2020,32909420.0,0.6399143400934252,0.3511264950633875,0.0,0.3511264950633875,0.0,0.7823901633353056,0.0,0.7823901633353056,0.0,0.0,1.0,0.0,0.577955251960524,0.0,0.577955251960524,3
Egypt,2020,235357630.0,0.9347101907732956,0.0652898081804648,0.0,0.0652898081804648,0.8761979525493152,0.1238020474506847,0.0,0.1238020474506847,0.0,0.0634511759597483,0.9365488240402516,0.6292473634338358,0.11671762159382477,0.0,0.11671762159382477,0
Germany,2020,648356860.0,0.741647398928637,0.199572088607398,0.0471139820139448,0.1524581065934532,0.4077068200602525,0.4599241670723498,0.1120346264371804,0.3478895406351693,0.857142555212153,0.142857444787847,0.0,0.3419620116651175,0.3783844940098935,0.1061913342259421,0.29854006598360794,1
