Country,Year,Annual CO₂ emissions,Agricultural_landshare_area_%,Croplandshare_area_%,Permanent_meadows_and_pasturesshare_area_%,Agriculture_area_actually_irrigatedshare_agriculture_%,Arable_landshare_agriculture_%,Croplandshare_agriculture_%,Permanent_cropsshare_agriculture_%,Permanent_meadows_and_pasturesshare_agriculture_%,Other_land_share,Temporary_crops_area_agriculture_share,Nitrogen_Share_t,Phosphate_Share_t,Potash_Share_t,Nitrogen_Share_g/Int$,Phosphate_Share_g/Int$,Potash_Share_g/Int$,Pesticides_per_agriculture_area_g_per_Int,Pesticides_per_agriculture_area_t,Forest_land_share_land_area_%,Naturally_regenerating_forest_share_forest_land_%,Cluster
Afghanistan,1990,2024326.1,58.32,12.33,46.0,,20.79,21.14,0.34,78.86,0.3982423378256137,0.0,0.991011235955056,0.0089887640449438,0.0,0.9907010014306152,0.0092989985693848,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,1991,1914301.0,58.31,12.31,46.0,,20.8,21.11,0.32,78.89,0.3983956579734143,0.0,0.8806584362139918,0.1193415637860082,0.0,0.8804841149773072,0.1195158850226928,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,1992,1482054.0,58.31,12.31,46.0,,20.8,21.11,0.32,78.89,0.3983956579734143,0.0,0.8493449781659389,0.1506550218340611,0.0,0.8495713172252534,0.1504286827747467,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,1993,1486943.0,58.16,12.16,46.0,,20.63,20.92,0.29,79.08,0.3998675313923003,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,1994,1453829.0,57.97,11.98,46.0,,20.37,20.66,0.29,79.34,0.4017227051806878,0.0,,,,,,,0.0,0.0,1.85,100.0,1
Afghanistan,1995,1417327.0,57.9,11.9,46.0,,20.27,20.56,0.29,79.44,0.4024893059196909,0.0,,,,,,,0.0,0.0,1.85,100.0,1
Afghanistan,1996,1370104.0,57.89,11.89,46.0,,20.25,20.54,0.29,79.46,0.4025812980083713,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,1997,1304152.0,57.95,11.95,46.0,,20.33,20.62,0.29,79.38,0.4019986814467289,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,1998,1278504.0,58.06,12.06,46.0,,20.48,20.78,0.29,79.22,0.4008794443677844,0.0,0.8571428571428571,0.1428571428571428,0.0,0.8601398601398602,0.1398601398601398,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,1999,1091640.0,57.9,11.9,46.0,,20.27,20.56,0.29,79.44,0.4024739739049108,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2000,1047127.94,57.95,11.95,46.0,,20.33,20.62,0.29,79.38,0.402014013461509,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2001,1069098.0,57.95,11.95,46.0,5.66,20.33,20.62,0.3,79.38,0.4019986814467289,0.0661992327027384,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2002,1340995.0,57.94,11.94,46.0,4.62,20.32,20.61,0.3,79.39,0.4020753415206292,0.0558613389785657,0.9998776834717344,0.0,0.0001223165282655,1.0,0.0,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2003,1559602.0,58.08,12.09,46.0,7.26,20.52,20.81,0.3,79.19,0.4006341321313034,0.0992767395206419,0.754829803745183,0.2451701962548168,0.0,0.7542662116040956,0.2457337883959044,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2004,1237247.0,58.15,12.16,46.0,5.5,20.61,20.9,0.3,79.1,0.3999595234809807,0.0773570976587217,0.6735035968425087,0.3255051271700367,0.0009912759874546,0.6734417344173442,0.3252032520325204,0.0013550135501355,0.0,0.0,1.85,100.0,1
Afghanistan,2005,1889507.0,58.13,12.14,46.0,5.84,20.58,20.88,0.3,79.12,0.4001281756435613,0.0892739404488751,0.6873742837384746,0.3090790441046819,0.0035466721568435,0.6875000000000001,0.3091216216216216,0.0033783783783783,0.0,0.0,1.85,100.0,1
Afghanistan,2006,2159318.0,58.12,12.13,46.0,6.09,20.56,20.87,0.31,79.13,0.4002354997470218,0.0930888947507254,0.8228232792591091,0.1771767207408908,0.0,0.822429906542056,0.1775700934579439,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2007,2799909.0,58.13,12.13,46.0,5.94,20.56,20.87,0.32,79.13,0.4001741716879015,0.0931318246557999,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2008,4254477.0,58.13,12.14,46.0,5.78,20.56,20.88,0.32,79.12,0.4001435076583414,0.085030066462707,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2009,6391888.0,58.13,12.14,46.0,4.84,20.55,20.88,0.32,79.12,0.4001435076583414,0.0914917185357105,0.9621923707748244,0.0378076292251757,0.0,0.9622641509433962,0.0377358490566037,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2010,8364803.5,58.13,12.14,46.0,5.0,20.55,20.88,0.33,79.12,0.4001281756435613,0.0918057863227576,0.9331750735842874,0.0668249264157126,0.0,0.9322709163346614,0.0677290836653386,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2011,11838316.0,58.13,12.14,46.0,5.39,20.55,20.88,0.33,79.12,0.4001588396731215,0.0812607147566926,0.7704076978286971,0.2295923021713028,0.0,0.7703180212014135,0.2296819787985865,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2012,10035314.0,58.13,12.13,46.0,5.46,20.55,20.87,0.33,79.13,0.4001741716879015,0.0911009125916548,0.9212771689105768,0.0680995515419087,0.0106232795475145,0.9211356466876972,0.0694006309148265,0.0094637223974763,0.0,0.0,1.85,100.0,1
Afghanistan,2013,9228517.0,58.12,12.13,46.0,5.52,20.54,20.87,0.33,79.13,0.4002354997470218,0.0920865207069374,0.9182325127926944,0.0794495307131208,0.0023179564941848,0.9175412293853074,0.0794602698650674,0.0029985007496251,0.0,0.0,1.85,100.0,1
Afghanistan,2014,9086037.0,58.12,12.13,46.0,5.74,20.5,20.87,0.37,79.13,0.4002354997470218,0.0919282511210762,0.935089061055791,0.0648265094835676,8.442946064131454e-05,0.9355089355089355,0.0644910644910645,0.0,0.0,0.0,1.85,100.0,1
Afghanistan,2015,9670181.0,58.12,12.13,46.0,5.71,20.48,20.87,0.38,79.13,0.4002354997470218,0.0884990767607491,0.894179250349008,0.1052230577623204,0.0005976918886715,0.8942953020134227,0.105145413870246,0.000559284116331,0.0,0.0,1.85,100.0,1
Afghanistan,2016,8906380.0,58.12,12.13,46.0,6.48,20.39,20.87,0.48,79.13,0.4002354997470218,0.0901872856766024,0.914284782025813,0.0850368164972712,0.0006784014769158,0.9144353899883584,0.0849825378346914,0.0005820721769499,0.0,0.0,1.85,100.0,1
Afghanistan,2017,9677441.0,58.12,12.13,46.0,5.99,20.31,20.87,0.56,79.13,0.4002354997470218,0.0757583750989184,0.8940191543439574,0.1057809269698563,0.0001999186861862,0.8936737804878048,0.1059451219512195,0.0003810975609756,0.0,0.0,1.85,100.0,1
