Country,Year,Annual CO₂ emissions,Forest_land_share_land_area_%,Naturally_regenerating_forest_share_forest_land_%,Log Forest,Log Naturally,Cluster
Afghanistan,2020,11605929.0,1.85,100.0,1.0473189942805592,4.61512051684126,1
Albania,2020,4711145.0,28.79,90.21,3.394172766725191,4.513164540192067,0
Algeria,2020,168177860.0,0.82,73.83,0.5988365010887039,4.315218874092267,1
Andorra,2020,381056.0,34.04,100.0,3.5564902660681907,4.61512051684126,0
Angola,2020,16532997.0,53.43,98.79,3.9969154724461085,4.603067977896221,0
Argentina,2020,165120860.0,10.44,94.97,2.437115985951652,4.564035642629537,0
Armenia,2020,6795358.0,11.54,94.38,2.5289235352047745,4.557868912870078,0
Australia,2020,399183900.0,17.42,98.22,2.913437030827161,4.597339606872903,0
Austria,2020,62175724.0,47.14,57.27,3.874113432354926,4.065087381154983,0
Azerbaijan,2020,36233150.0,13.69,73.0,2.6871669901857858,4.30406509320417,0
Bahrain,2020,37395950.0,0.89,0.0,0.6365768290715511,0.0,1
Bangladesh,2020,95454296.0,14.47,91.61,2.738902664584975,4.528397127182178,0
Barbados,2020,1237213.0,14.65,100.0,2.750470916986162,4.61512051684126,0
Belarus,2020,59055548.0,43.19,74.77,3.7884985191426486,4.327702435943282,0
Belgium,2020,91228270.0,22.6,36.43,3.1612467120315646,3.6224725219163374,0
Belize,2020,584020.0,55.99,99.81,4.0428758138469085,4.61323755706585,0
Benin,2020,5517598.0,27.8,99.27,3.3603753871419,4.607866547535834,0
Bhutan,2020,1250269.0,71.45,99.24,4.282896668766692,4.607567310587813,0
Bolivia,2020,18311650.0,46.92,99.88,3.869532953807194,4.613931691656664,0
Bosnia and Herzegovina,2020,20831812.0,42.73,94.03,3.778034365424829,4.5541926312232235,0
Botswana,2020,5550960.0,26.92,100.0,3.329343277894172,4.61512051684126,0
Brazil,2020,445208100.0,59.42,97.74,4.101320175958526,4.592490132830717,0
Brunei,2020,11156890.0,72.11,98.62,4.291965156305224,4.601362947645137,0
Bulgaria,2020,36644240.0,35.86,80.04,3.607126952241677,4.394942859940428,0
Burkina Faso,2020,5377314.0,22.72,97.15,3.1663185741295248,4.58649692072247,0
Burundi,2020,739052.0,10.89,59.6,2.4756977107026903,4.104294893075269,0
Cambodia,2020,19034220.0,45.71,92.51,3.8439582745140166,4.5380683824473556,0
Cameroon,2020,9715630.0,43.03,99.7,3.7848712197676626,4.612145799724517,0
Canada,2020,526581600.0,38.7,94.76,3.681351187693145,4.561845061249718,0
Cape Verde,2020,516623.97,11.34,29.92,2.5128460184772416,3.4314032237192214,1
Central African Republic,2020,238160.0,35.8,99.99,3.6054978451748854,4.6150215020384655,0
Chad,2020,2356446.0,3.43,99.54,1.4883995840570443,4.610555658264429,1
Chile,2020,80178160.0,24.49,82.51,3.238286218388024,4.424966385165138,0
China,2020,10905693000.0,23.34,61.5,3.1921210875593813,4.135166556742356,0
Colombia,2020,89731500.0,53.31,99.28,3.994708372046754,4.607966273290093,0
Comoros,2020,373728.0,17.69,99.36,2.9279886214674717,4.608763721498222,0
Costa Rica,2020,6770508.0,59.44,97.15,4.101651137404539,4.58649692072247,0
Croatia,2020,16881604.0,34.65,96.46,3.573749146860305,4.57944203741536,0
Cuba,2020,21277170.0,31.23,83.57,3.4728976958273465,4.437579593794131,0
Cyprus,2020,7014958.0,18.67,81.02,2.979094632400968,4.406963119963913,0
Czech Republic,2020,91673770.0,34.68,5.14,3.5745903077118086,1.814824742159051,1
Democratic Republic of the Congo,2020,4301513.0,55.65,99.95,4.036891987474015,4.614625344758847,0
Denmark,2020,28294042.0,15.71,34.43,2.8160073426073025,3.5675589188773804,1
Djibouti,2020,463062.0,0.25,96.55,0.22314355131420976,4.5803650670691205,1
