Country,Year,Annual CO₂ emissions,Exports of goods and services (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),Imports of goods and services (% of GDP),Population density (people per sq. km of land area),Urban population (% of total population),Adjusted savings: carbon dioxide damage (% of GDP),Adjusted savings: carbon dioxide damage (% of total population),Exports per capita (current US$),Imports per capita (current US$),"Foreign direct investment, net inflows per capita (BoP, current US$)",Log GDP,Cluster
Afghanistan,2020,11605929.0,10.4208171386207,114.41256679301,0.0649939571808755,512.055098005672,36.2890774127896,59.7522806371985,26.026,1.1640686399364564,5.960672815079917,53.36032541215578,185.8200709114141,0.3328048711402965,6.238432232541941,0
Albania,2020,4711145.0,22.6577896143959,92.4954518919607,7.05509220945392,5343.0377039956,37.1719398177669,103.571131386861,62.112,1.2822462855748524,68.51090249634741,1210.614241989172,1986.1107597698365,376.9562368027792,8.583549628641762,3
Algeria,2020,168177860.0,15.5352011116191,66.3699966567991,0.693816014772842,3794.40952448639,24.8545554509197,18.2436570559099,73.733,4.228558424356945,160.44882360227106,589.4691506273914,943.08361929845,26.32622094695264,8.241284084703166,3
Andorra,2020,381056.0,,,,37207.2219994994,,165.31914893617,87.916,0.6435389162876178,239.4429532363063,,,,10.52425816119004,2
Angola,2020,16532997.0,38.3145407409807,62.8225469500411,-3.84826398729864,1450.90511139418,27.6274881894828,26.8135766423358,66.825,2.0514903517134404,29.765178372768634,555.907630018093,400.8486382910282,-55.83465889165725,7.279942855428233,0
Antigua and Barbuda,2020,619216.0,41.9109250095166,,7.52795987912524,15224.8585890561,52.4347951642755,210.6,24.433,1.192185767061523,181.50859715397127,6380.879066064254,7983.123415222179,1146.1212462376975,9.63068480445983,1
Argentina,2020,165120860.0,16.6054144372484,82.5777141918946,1.26616924308721,8500.83793850534,13.5982843701675,16.580892611147,92.111,1.6550581921353316,140.69381470138077,1411.5993703276563,1155.9681167250426,107.63499538204344,9.047920018620248,1
Armenia,2020,6795358.0,29.7649869151934,90.2950007656219,0.463408850763634,4505.86774175695,39.7238206244142,98.5461187214612,63.313,1.875458321045828,84.50567149810023,1341.1709437498753,1789.902819308877,20.880589919005185,8.413135768976193,3
Australia,2020,399183900.0,23.9673727374511,73.9430353149605,1.19074395815641,51868.2475567823,20.1756728566692,3.33452695130798,86.241,1.195796557881911,620.2387189176696,12431.456224317924,10464.767943543726,617.6180239839974,10.856462081480364,2
Austria,2020,62175724.0,51.5849469422098,70.8956658860182,-2.85782199061955,48789.4978498872,48.123348236909,108.057004362579,58.748,0.5758936615556226,280.97562562231747,25168.03657923492,23479.13995334044,-1394.3169986669304,10.79527036068656,2
Azerbaijan,2020,36233150.0,35.6235558660257,77.1048015861534,1.18790387182911,4229.91064904503,36.3943117827554,122.124736829369,56.397,3.421592545143771,144.73030743396714,1506.8445831455306,1539.4468697454238,50.24727237491753,8.349936148660023,3
Bahrain,2020,37395950.0,72.9286071285918,59.26726541967,2.9498072550617,23433.1872362574,67.2894052902043,1882.12611464968,89.506,3.820231428918021,895.2019835967117,17089.497057237477,15768.052331817657,691.2338571873116,10.061908554527601,1
Bangladesh,2020,95454296.0,10.4427880616037,72.9223975478205,0.407859894539392,2233.76728192962,15.8286593146113,1286.17155258508,38.177,1.0599489742661117,23.676793392305065,233.26758304135723,353.5754129378921,9.110640880333609,7.711444803177731,3
Barbados,2020,1237213.0,29.2007644196858,94.0730433226772,5.48354288044231,17028.4137830299,35.5383643964042,652.774418604651,31.191,0.9105509041876828,155.0523756701984,4972.42699319185,6051.6197411406765,933.7603716515908,9.742638626807244,1
Belarus,2020,59055548.0,61.0121492642983,69.2000454178105,2.27009964534033,6542.8645398436,57.9217344260324,46.211212927382,79.483,3.89058415119763,254.555650821485,3991.942279210224,3789.740622623261,148.52954471408808,8.786130351590106,3
Belgium,2020,91228270.0,78.6679063837031,73.8635613520964,-5.20124249962676,45587.968308319,76.6671689807858,381.063540290621,98.079,0.6900359146078543,314.57335406744784,35863.10023102067,34951.00469784603,-2371.1407823686645,10.727399107799439,2
Belize,2020,584020.0,37.6291762647758,75.4738984600642,3.72133508787436,5185.1580697602,43.9962961819107,17.3135028496274,46.025,1.1320152729588329,58.69678127674294,1951.1322696773152,2281.277501871944,192.95710661173555,8.553555606170049,3
Benin,2020,5517598.0,19.8724704276524,79.4544490134111,1.10934414138145,1240.73315461172,24.9607629492202,112.12418410784,48.415,2.070648228098273,25.6912190813954,246.5643292362916,309.69646155501295,13.764000560862296,7.123457737596598,0
Bhutan,2020,1250269.0,28.0656367017591,76.628518953602,-0.113401542398139,3181.33974675871,43.7647190686249,20.2544834819088,42.316,1.6962696627471634,53.96410099318556,892.8632555739644,1392.3044027874605,-3.607688341749436,8.06505769106278,3
Bolivia,2020,18311650.0,20.2725897857053,89.1799535303907,-3.08351648267274,3068.81255516456,25.2306728309622,11.0183347179913,70.123,2.3488502425397524,72.08181114507309,622.1277806007324,774.282055589062,-94.62734096082978,8.029045975910078,3
Bosnia and Herzegovina,2020,20831812.0,34.1814921420484,92.6813270567318,2.38939048355651,6095.10423658487,47.9297731152414,64.81263671875,49.02,4.167824835561531,254.03326812574736,2083.397575677914,2921.369631732596,145.63584059180866,8.715241143751886,3
Botswana,2020,5550960.0,31.2902836724863,84.686501468863,0.212513314006456,5875.07043504191,46.3729291399852,4.49314841282445,70.877,1.9785102482007697,116.23887064631782,1838.326205082992,2724.442249766207,12.485306881721073,8.678473327883797,3
Brazil,2020,445208100.0,16.4535520107044,83.2791539262855,2.59263795330717,6923.6999117682,15.8485265356365,25.5076253807665,87.073,1.1974775582876118,82.90975264660358,1139.1945660478757,1097.3044177644233,179.50647168559732,8.842705575057662,3
Brunei,2020,11156890.0,57.3561114159878,49.1903178265428,4.7105756528403,27179.3528869398,52.9348922424642,83.8187855787476,78.25,2.4935023118293027,677.7177925760892,15589.019923977725,14387.361162900672,1280.3039796917358,10.210212878994183,2
Bulgaria,2020,36644240.0,56.1307982638743,77.7210417999306,5.10816174958716,10148.3423954435,54.1977954215794,63.8726510685335,75.686,2.178249111224266,221.05617803274296,5696.345597113606,5500.177850163866,518.3937444611815,9.22506566033953,1
Burkina Faso,2020,5377314.0,31.776865693981,80.0245298398356,-0.557279533588196,823.552410880968,28.9629129522965,78.6645687134503,30.607,1.2528466829201148,10.317849061830838,261.6991435251874,238.52476787999385,-4.589489034211801,6.7136271916495325,0
Burundi,2020,739052.0,4.54932000033401,106.228720000419,0.801085827236617,216.827417481114,22.2240099992609,475.865537383178,13.708,1.2399511169620416,2.6885539849370312,9.864173069676038,48.18774694214216,1.736973711004378,5.379101725965826,0
Cambodia,2020,19034220.0,62.3503696145816,74.889308293106,14.0094821027703,1577.91173991645,61.6403719766957,92.8895309313392,24.232,2.75537131302089,43.477327426446585,983.8338020297788,972.63066594845,221.0572628011064,7.363857568229706,0
Cameroon,2020,9715630.0,15.2357369814791,85.6067495047725,1.65595614712353,1539.13054519245,18.503094380908,56.040885532356,57.56,0.9770903281683854,15.038695694960724,234.49788166712565,284.7867774223421,25.4873268753702,7.338972954927921,0
Canada,2020,526581600.0,29.4736472349344,79.5248963533865,1.75897085668576,43537.839298904,31.6831237283418,4.24162135453439,81.562,1.3851923215313382,603.0828069290701,12832.18916867162,13794.147493718392,765.8179048984032,10.68138570790037,2
Cape Verde,2020,516623.97,25.2933707721998,98.8447893914034,3.71218491455204,3126.39985872259,53.1000838209903,144.575682382134,66.652,1.274746462143979,39.853671591540575,790.7719080882363,1660.120945561019,116.05774392407643,8.047637416659937,3
Central African Republic,2020,238160.0,15.1724799997493,100.877300004706,0.0746698927110639,435.469247800022,34.3485400014428,8.5765514141706,42.198,0.4708612760528482,2.05045605700892,66.07148452751701,149.57732877457244,0.3251644201219535,6.076424180251708,0
Chad,2020,2356446.0,26.7161490487759,94.742976181134,5.20459064505571,643.772215694009,42.0142110926852,13.2184728398983,23.52,0.914449549667444,5.886972127297997,171.9911446794184,270.4758176577375,33.505708513478254,6.467344961198433,0
Chile,2020,80178160.0,31.3303902428612,74.4638759760526,4.50610139661101,13162.5913519707,26.8524733201136,25.9576117773008,87.727,1.423956894019069,187.42962698794503,4123.891236645526,3534.4813310235145,593.1197127413516,9.485134096738808,1
China,2020,10905693000.0,18.5861391981183,55.3304457751266,1.72317554862906,10408.7195541075,16.1681565014309,150.305542803154,61.428,2.992262418915402,311.45620350785555,1934.5791050681669,1682.8980673031394,179.36051028175183,9.25039915251705,1
Colombia,2020,89731500.0,13.5222755593302,87.8828729126836,2.75889428953141,5308.16470717512,20.5332954086799,45.9041568273997,81.425,1.1639395133847965,61.78382646235758,717.7846588473345,1089.941140103557,146.446652985176,8.577001424958455,3
Comoros,2020,373728.0,5.67175210840519,110.584667866957,0.316385474955505,1519.58678065177,28.0581825073439,433.189682966147,29.38,1.1631550172831997,17.675149881123243,86.18719527066324,426.3684322727441,4.807751853326164,7.326193722046736,0
Costa Rica,2020,6770508.0,31.906497656809,80.1638362658678,3.37043523311192,12179.2566735195,28.2333885921707,100.33499804152,80.771,0.5252114280943091,63.96684790626329,3885.9742451532616,3438.616864272643,410.4939580554371,9.407489510954901,1
Croatia,2020,16881604.0,41.0941674924842,83.1263312116553,2.14960920253961,14383.8695000306,48.0426382684473,72.3316654753395,57.553,1.064022108007724,153.04755146730548,5910.931424242924,6910.390392905219,309.1969824539464,9.573862684091727,1
Cuba,2020,21277170.0,8.16847039360309,89.471252461533,,9499.57250428248,7.51454563407414,108.869922928709,77.194,0.8809549752222766,83.68695660132391,775.9697675311737,713.8497108762663,,9.15900207702691,1
Cyprus,2020,7014958.0,80.6824791142272,80.397332930796,-103.156733230233,28281.412109375,82.0487032705763,133.932575757576,66.821,1.1288859983109514,230.1233925107742,16447.122063455154,16725.626835646206,-21028.49840177692,10.249960051910108,2
